"key";"source";"source_nom";"target";"target_nom";"distance_km";"premiere_annee";"derniere_annee";"n_annees";"conttype"
"7588-8151";"8151";"Cochin China";"7588";"Baluchistan (Kalat)";4597,42360394462;1923;1937;6;NA
"630-7501";"7501";"Andaman Is.";"630";"Iran (Persia)";4597,58306451769;1857;1860;3;NA
"4344-541";"4344";"Grand Popo";"541";"Mozambique (Portuguese East Africa)";4599,1690822626;1885;1885;1;NA
"355-4782";"4782";"Oil Rivers Protectorate";"355";"Bulgaria";4599,58594360817;1885;1899;15;NA
"9008-930";"9008";"Ashmore and Cartier Is";"930";"New Caledonia";4599,81981376988;1914;1914;1;NA
"255-4784";"4784";"Northern Nigeria (British Nigeria)";"255";"Germany (Zollverein)";4599,8980133206;1902;1913;9;NA
"7120-7506";"7506";"Hyderabad";"7120";"Kiauchau";4601,00161290464;1904;1904;1;NA
"2003-475";"2003";"Channel Is.";"475";"Nigeria";4602,49391515219;1914;1938;25;NA
"403-4060";"4060";"Tristan da Cunha";"403";"Sao Tome-Principe";4602,60640402776;1891;1938;3;NA
"324-7020";"7020";"Bokhara";"324";"Kingdom of Sardinia";4603,47690220779;1833;1860;28;NA
"5518-698";"5518";"Northeastern Rhodesia";"698";"Oman (Sultanate of Muscat and Oman)";4605,6260351042;1906;1910;4;NA
"1023-2003";"2003";"Channel Is.";"1023";"New Brunswick";4607,21344539177;1842;1867;26;NA
"4050-500";"4050";"St. Helena";"500";"Uganda";4607,35314646505;1896;1938;43;NA
"1029-248";"1029";"St. Pierre and Miquelon";"248";"Hamburg";4608,09103103887;1833;1867;35;NA
"7010-7121";"7121";"Shangai";"7010";"Kokand";4608,47490336592;1863;1865;2;NA
"21-6067";"6067";"Captaincy-general of north Africa";"21";"Newfoundland and Labrador (Newfoundland)";4608,77722398189;1860;1913;52;NA
"484-6067";"6067";"Captaincy-general of north Africa";"484";"Congo (Brazzaville) (French Congo) (Middle Congo)";4609,00780118074;1883;1910;21;NA
"3343-472";"3343";"Fiume";"472";"British Cameroons";4610,54219366878;1919;1924;4;NA
"480-6800";"6800";"Socotra I.";"480";"French Equatorial Africa";4610,90603242295;1930;1938;8;NA
"385-7010";"7010";"Kokand";"385";"Norway";4611,2873359431;1833;1867;35;NA
"901-9900";"9900";"Samoa";"901";"New South Wales";4612,99650563644;1876;1896;9;NA
"1022-115";"1022";"Nova Scotia";"115";"Surinam (Dutch Guiana)";4614,98222610039;1845;1867;23;NA
"4060-480";"4060";"Tristan da Cunha";"480";"French Equatorial Africa";4615,15290256845;1938;1938;1;NA
"212-7020";"7020";"Bokhara";"212";"Luxemburg";4616,59807408052;1840;1867;28;NA
"9004-902";"9004";"Norfolk I.";"902";"Western Australia";4617,39098598795;1901;1901;1;NA
"210-7020";"7020";"Bokhara";"210";"Netherlands";4617,94402284629;1833;1867;35;NA
"4781-681";"4781";"Lagos";"681";"Aden";4618,24869664876;1863;1906;24;NA
"4783-681";"4783";"Southern Nigeria (Niger Coast Protectorate)";"681";"Aden";4618,24869664876;1893;1913;21;NA
"2003-452";"2003";"Channel Is.";"452";"Ghana (Gold Coast)";4619,58473313091;1846;1938;86;NA
"710-8560";"8560";"Ternate";"710";"People's Republic of China (China)";4619,78723660245;1853;1853;1;NA
"1027-4";"1027";"British Columbia";"4";"Hawaii (Sandwich Is.)";4620,10554583633;1858;1870;10;NA
"3343-470";"3343";"Fiume";"470";"Kamerun";4620,30173431416;1919;1922;3;NA
"1029-93";"1029";"St. Pierre and Miquelon";"93";"Nicaragua";4622,88273803058;1867;1938;70;NA
"1019-90";"1019";"Rupert's Land";"90";"Guatemala";4622,99115805403;1849;1869;21;NA
"342-4347";"4347";"Cotonou";"342";"Kingdom of Serbia";4623,8387497157;1885;1892;5;NA
"2003-437";"2003";"Channel Is.";"437";"Ivory Coast";4624,54492994754;1881;1904;24;NA
"1029-402";"1029";"St. Pierre and Miquelon";"402";"Cape Verde";4626,50677132022;1833;1938;106;NA
"3363-625";"3363";"Memel";"625";"Sudan (Anglo-Egyptian Sudan) (Mahdist State)";4626,66665014996;1920;1920;1;NA
"8151-9050";"9050";"Torres Strait Is.";"8151";"Cochin China";4628,54524570479;1867;1868;2;NA
"1019-42";"1019";"Rupert's Land";"42";"Dominican Republic (Santo Domingo)";4629,1779051662;1850;1869;19;NA
"4344-563";"4344";"Grand Popo";"563";"Transvaal (South African Republic)";4629,64205553714;1885;1885;1;NA
"352-6090";"6090";"Río de Oro";"352";"Cyprus";4629,81752026774;1915;1936;11;NA
"3362-365";"3362";"Wallachia";"365";"Russia (USSR)";4629,89846292172;1837;1858;6;NA
"21-6030";"6030";"Tetuan";"21";"Newfoundland and Labrador (Newfoundland)";4630,14899087275;1860;1862;3;NA
"450-5519";"5519";"Barotseland_North_Western Rhodesia (Northwestern Rhodesia)";"450";"Liberia";4630,33372326843;1910;1910;1;NA
"342-4782";"4782";"Oil Rivers Protectorate";"342";"Kingdom of Serbia";4631,33482687993;1885;1899;15;NA
"3343-681";"3343";"Fiume";"681";"Aden";4632,64204827593;1919;1924;5;NA
"7111-835";"7111";"Manchuria";"835";"Brunei";4632,65269471111;1910;1926;2;NA
"9004-9810";"9810";"Caroline Is.";"9004";"Norfolk I.";4632,66713792111;1914;1926;8;NA
"510-6402";"6402";"Western Anatolia";"510";"German East Africa";4632,66912345144;1918;1918;1;NA
"3271-451";"3271";"Ancona";"451";"Sierra Leone";4632,76834489317;1838;1839;2;NA
"3349-451";"3349";"Ionian Is.";"451";"Sierra Leone";4633,98492061592;1833;1864;32;NA
"6800-775";"6800";"Socotra I.";"775";"Myanmar (Burma)";4634,72222206693;1937;1938;2;NA
"1029-240";"1029";"St. Pierre and Miquelon";"240";"Hanover";4634,76191797722;1833;1866;34;NA
"7352-835";"7352";"Vladivostok";"835";"Brunei";4635,96350169762;1919;1922;4;NA
"342-4345";"4345";"Ouidah";"342";"Kingdom of Serbia";4636,15657651689;1886;1886;1;NA
"160-4060";"4060";"Tristan da Cunha";"160";"Argentina (La Plata)";4636,22342722979;1869;1938;10;NA
"276-7010";"7010";"Kokand";"276";"Lübeck";4636,67626199598;1834;1867;34;NA
"8225-900";"8225";"Trengganu";"900";"Australia";4636,69481723775;1909;1910;2;NA
"8151-912";"8151";"Cochin China";"912";"New Guinea (German New Guinea) (Kaiser Wilhelmsland)";4637,62703790806;1889;1938;47;NA
"1064-150";"1064";"St. Barthelemy";"150";"Paraguay";4638,23719546432;1852;1878;12;NA
"380-4361";"4361";"Aïr";"380";"Sweden";4638,66300816354;1891;1900;10;NA
"8401-940";"8401";"Sulu Sultanate";"940";"Solomon Islands (British Solomon Islands Protectorate)";4639,1113004771;1914;1915;2;NA
"1029-276";"1029";"St. Pierre and Miquelon";"276";"Lübeck";4639,46534116932;1834;1867;34;NA
"811-9810";"9810";"Caroline Is.";"811";"Cambodia (Kampuchea)";4639,49510909862;1914;1926;8;NA
"4782-562";"4782";"Oil Rivers Protectorate";"562";"Natal";4639,53770388197;1885;1899;15;NA
"8221-912";"8221";"Johore";"912";"New Guinea (German New Guinea) (Kaiser Wilhelmsland)";4640,27050255447;1899;1923;24;NA
"3343-404";"3343";"Fiume";"404";"Guinea-Bissau (Portuguese Guinea)";4641,0899279695;1919;1924;5;NA
"200-4338";"4338";"Goree";"200";"United Kingdom";4641,6392812816;1854;1859;4;NA
"355-4347";"4347";"Cotonou";"355";"Bulgaria";4642,04484022703;1885;1892;5;NA
"700-8222";"8222";"Kedah";"700";"Afghanistan";4643,41365058477;1910;1910;1;NA
"3349-450";"3349";"Ionian Is.";"450";"Liberia";4643,50096566308;1860;1864;5;NA
"101-9610";"9610";"Clipperton I.";"101";"Venezuela";4643,72743779163;1857;1858;2;NA
"403-6631";"6631";"West Bank";"403";"Sao Tome-Principe";4644,07703288002;1993;2025;32;NA
"751-8510";"8510";"Lombok";"751";"French India";4644,14171010794;1852;1852;1;NA
"511-6202";"6202";"Cyrenaica";"511";"Zanzibar";4644,53066288542;1927;1930;3;NA
"2003-451";"2003";"Channel Is.";"451";"Sierra Leone";4646,03343079022;1836;1938;99;NA
"225-4782";"4782";"Oil Rivers Protectorate";"225";"Switzerland";4646,51400203399;1885;1899;15;NA
"2901-698";"2901";"Congress Poland";"698";"Oman (Sultanate of Muscat and Oman)";4648,49870458665;1843;1917;2;NA
"4341-541";"4341";"Old Dahomey";"541";"Mozambique (Portuguese East Africa)";4648,89341385692;1857;1894;11;NA
"1025-385";"1025";"Quebec (Lower Canada)";"385";"Norway";4649,19707467003;1833;1841;7;NA
"225-4383";"4383";"Loos Is.";"225";"Switzerland";4650,01898794424;1897;1904;8;NA
