CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1847,Baden,United Kingdom
FromExporter,0,imputed zero,1847,Baden,United States of America
FromExporter,0,imputed zero,1847,Baden,Windward Is.
FromExporter,0,imputed zero,1847,Bahamas,Belgium
FromExporter,,unknown despite gravity,1847,Bahamas,Bermuda
FromExporter,0,imputed zero,1847,Bahamas,Bremen
FromExporter,0,imputed zero,1847,Bahamas,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Bahamas,Chile
FromExporter,0,imputed zero,1847,Bahamas,Cuba
FromExporter,,unknown despite gravity,1847,Bahamas,Dominica
FromExporter,0,imputed zero,1847,Bahamas,Ecuador
FromExporter,,unknown despite gravity,1847,Bahamas,France
FromExporter,0,imputed zero,1847,Bahamas,French Guiana
FromExporter,0,imputed zero,1847,Bahamas,French India
FromExporter,,unknown despite gravity,1847,Bahamas,Gambia
FromExporter,0,imputed zero,1847,Bahamas,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Bahamas,Greece
FromExporter,0,imputed zero,1847,Bahamas,Guadeloupe
FromExporter,0,imputed zero,1847,Bahamas,Hamburg
FromExporter,,unknown despite gravity,1847,Bahamas,India
FromExporter,,unknown despite gravity,1847,Bahamas,Leeward Is.
FromExporter,0,imputed zero,1847,Bahamas,Martinique
FromExporter,0,imputed zero,1847,Bahamas,Moldavia
FromExporter,0,imputed zero,1847,Bahamas,Netherlands
FromExporter,,unknown despite gravity,1847,Bahamas,New South Wales
FromExporter,0,imputed zero,1847,Bahamas,Papal States
FromExporter,0,imputed zero,1847,Bahamas,People's Republic of China (China)
FromExporter,0,imputed zero,1847,Bahamas,Peru
FromExporter,0,imputed zero,1847,Bahamas,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Bahamas,Russia (USSR)
FromExporter,0,imputed zero,1847,Bahamas,Senegal
FromExporter,0,imputed zero,1847,Bahamas,Shangai
FromExporter,,unknown despite gravity,1847,Bahamas,Sierra Leone
FromExporter,,unknown despite gravity,1847,Bahamas,South Australia
FromExporter,0,imputed zero,1847,Bahamas,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Bahamas,Sweden
FromExporter,0,imputed zero,1847,Bahamas,Tuscany
FromExporter,,unknown despite gravity,1847,Bahamas,United Kingdom
FromExporter,,unknown despite gravity,1847,Bahamas,United States of America
FromExporter,,unknown despite gravity,1847,Bahamas,Windward Is.
FromExporter,0,imputed zero,1847,Bahrain,Bahamas
FromExporter,0,imputed zero,1847,Bahrain,Belgium
FromExporter,0,imputed zero,1847,Bahrain,Bermuda
FromExporter,0,imputed zero,1847,Bahrain,Bremen
