key,common_empire,year
"1033-51",1,1955
"1033-51",1,1956
"1033-51",1,1957
"1033-51",1,1958
"1033-51",1,1959
"1033-51",1,1960
"1033-51",1,1961
"1033-51",1,1962
"1044-2",1,1903
"1044-2",1,1904
"1044-2",1,1905
"1044-2",1,1906
"1044-2",1,1907
"1044-2",1,1908
"1044-2",1,1909
"1044-2",1,1910
"1044-2",1,1911
"1044-2",1,1912
"1044-2",1,1913
"1044-2",1,1914
"1044-2",1,1915
"1044-2",1,1916
"1044-2",1,1917
"1044-2",1,1918
"1044-2",1,1919
"1044-2",1,1920
"1044-2",1,1921
"1044-2",1,1922
"1044-2",1,1923
"1044-2",1,1924
"1044-2",1,1925
"1044-2",1,1926
"1044-2",1,1927
"1044-2",1,1928
"1044-2",1,1929
"1044-2",1,1930
"1044-2",1,1931
"1044-2",1,1932
"1044-2",1,1933
"1044-2",1,1934
"1044-2",1,1935
"1044-2",1,1936
"1044-2",1,1937
"1044-2",1,1938
"1044-2",1,1939
"1044-2",1,1940
"1044-2",1,1941
"1044-2",1,1942
"1044-2",1,1943
"1044-2",1,1944
"1044-2",1,1945
"1044-2",1,1946
"1044-2",1,1947
"1044-2",1,1948
"1044-2",1,1949
"1044-2",1,1950
"1044-2",1,1951
"1044-2",1,1952
"1044-2",1,1953
"1044-2",1,1954
"1044-2",1,1955
"1044-2",1,1956
"1044-2",1,1957
"1044-2",1,1958
"1044-2",1,1959
"1044-2",1,1960
"1044-2",1,1961
"1044-2",1,1962
"1044-2",1,1963
"1044-2",1,1964
"1044-2",1,1965
"1044-2",1,1966
"1044-2",1,1967
"1044-2",1,1968
"1044-2",1,1969
"1044-2",1,1970
"1044-2",1,1971
"1044-2",1,1972
"1044-2",1,1973
"1044-2",1,1974
"1044-2",1,1975
"1044-2",1,1976
"1044-2",1,1977
"1044-2",1,1978
"1044-2",1,1979
"1044-2",1,1980
"1044-2",1,1981
"1044-2",1,1982
"1044-2",1,1983
"1044-2",1,1984
"1044-2",1,1985
"1044-2",1,1986
"1044-2",1,1987
"1044-2",1,1988
"1044-2",1,1989
"1044-2",1,1990
"1044-2",1,1991
"1044-2",1,1992
"1044-2",1,1993
"1044-2",1,1994
"1044-2",1,1995
"1044-2",1,1996
"1044-2",1,1997
"1044-2",1,1998
"1044-2",1,1999
"1044-2",1,2000
"1044-2",1,2001
"1044-2",1,2002
"1044-2",1,2003
"1044-2",1,2004
"1044-2",1,2005
"1044-2",1,2006
"1044-2",1,2007
"1044-2",1,2008
"1044-2",1,2009
"1044-2",1,2010
"1044-2",1,2011
"1044-2",1,2012
"1044-2",1,2013
"1044-2",1,2014
"1044-2",1,2015
"1044-2",1,2016
"1044-2",1,2017
"1044-2",1,2018
"1044-2",1,2019
"1044-2",1,2020
"1044-2",1,2021
"1044-2",1,2022
"1048-200",1,1816
"1048-200",1,1817
"1048-200",1,1818
"1048-200",1,1819
"1048-200",1,1820
"1048-200",1,1821
"1048-200",1,1822
"1048-200",1,1823
"1048-200",1,1824
"1048-200",1,1825
"1048-200",1,1826
"1048-200",1,1827
"1048-200",1,1828
"1048-200",1,1829
"1048-200",1,1830
"1048-200",1,1831
"1048-200",1,1832
"1048-200",1,1833
"1048-200",1,1834
"1048-200",1,1835
"1048-200",1,1836
"1048-200",1,1837
"1048-200",1,1838
"1048-200",1,1839
"1048-200",1,1840
"1048-200",1,1841
"1048-200",1,1842
"1048-200",1,1843
"1048-200",1,1844
"1048-200",1,1845
"1048-200",1,1846
"1048-200",1,1847
"1048-200",1,1848
"1048-200",1,1849
"1048-200",1,1850
"1048-200",1,1851
"1048-200",1,1852
"1048-200",1,1853
"1048-200",1,1854
"1048-200",1,1855
"1048-200",1,1856
"1048-200",1,1857
"1048-200",1,1858
"1048-200",1,1859
"1048-200",1,1860
"1048-200",1,1861
"1048-200",1,1862
"1048-200",1,1863
"1048-200",1,1864
"1048-200",1,1865
"1048-200",1,1866
"1048-200",1,1867
"1048-200",1,1868
"1048-200",1,1869
"1048-200",1,1870
"1048-200",1,1871
"1048-200",1,1872
"1048-200",1,1873
"1048-200",1,1874
"1048-200",1,1875
"1048-200",1,1876
"1048-200",1,1877
"1048-200",1,1878
"1048-200",1,1879
"1048-200",1,1880
"1048-200",1,1881
"1048-200",1,1882
"1048-200",1,1883
"1048-200",1,1884
"1048-200",1,1885
"1048-200",1,1886
"1048-200",1,1887
"1048-200",1,1888
"1048-200",1,1889
"1049-200",1,1816
"1049-200",1,1817
"1049-200",1,1818
"1049-200",1,1819
"1049-200",1,1820
"1049-200",1,1821
"1049-200",1,1822
"1049-200",1,1823
"1049-200",1,1824
"1049-200",1,1825
"1049-200",1,1826
"1049-200",1,1827
"1049-200",1,1828
"1049-200",1,1829
"1049-200",1,1830
"1049-200",1,1831
"1049-200",1,1832
"1049-200",1,1833
"1053-200",1,1862
"1053-200",1,1863
"1053-200",1,1864
"1053-200",1,1865
"1053-200",1,1866
"1053-200",1,1867
"1053-200",1,1868
"1053-200",1,1869
"1053-200",1,1870
"1053-200",1,1871
"1053-200",1,1872
"1053-200",1,1873
"1053-200",1,1874
"1053-200",1,1875
"1053-200",1,1876
"1053-200",1,1877
"1053-200",1,1878
"1053-200",1,1879
"1053-200",1,1880
"1053-200",1,1881
"1053-200",1,1882
"1054-200",1,1863
"1054-200",1,1864
"1054-200",1,1865
"1054-200",1,1866
"1054-200",1,1867
"1054-200",1,1868
"1054-200",1,1869
"1054-200",1,1870
"1054-200",1,1871
"1054-200",1,1872
"1054-200",1,1873
"1054-200",1,1874
"1054-200",1,1875
"1054-200",1,1876
"1054-200",1,1877
"1054-200",1,1878
"1054-200",1,1879
"1054-200",1,1880
"1054-200",1,1881
"1054-200",1,1882
"1055-200",1,1833
"1055-200",1,1834
"1055-200",1,1835
"1055-200",1,1836
"1055-200",1,1837
"1055-200",1,1838
"1055-200",1,1839
"1055-200",1,1840
"1055-200",1,1841
"1055-200",1,1842
"1055-200",1,1843
"1055-200",1,1844
"1055-200",1,1845
"1055-200",1,1846
"1055-200",1,1847
"1055-200",1,1848
"1055-200",1,1849
"1055-200",1,1850
"1055-200",1,1851
"1055-200",1,1852
"1055-200",1,1853
