year,resolution,modularity,cafFob,nb_communities
1851,0.6000000000000001,0.5555077725180155,caf,5
1851,0.8,0.5936504815897923,caf,9
1851,1,0.5936504815897923,caf,9
1851,1.2,0.5936504815897923,caf,9
1851,1.4,0.5875711902680432,caf,11
1851,1.5999999999999999,0.5875711902680432,caf,11
1851,1.7999999999999998,0.5813687274056478,caf,12
1851,1.9999999999999998,0.5811033851989149,caf,12
1851,2.1999999999999997,0.5747680081381594,caf,13
1851,2.4,0.5580900776719271,caf,14
1851,2.6,0.5536636709312608,caf,15
1851,2.8000000000000003,0.5536636709312608,caf,15
1851,3.0000000000000004,0.5536636709312608,caf,15
1851,3.2000000000000006,0.5429077869119185,caf,17
1851,3.400000000000001,0.5429077869119185,caf,17
1851,3.600000000000001,0.5377866553154533,caf,18
1851,3.800000000000001,0.5298657267768689,caf,19
1851,0.2,0.2554265907648806,fob,2
1851,0.4,0.486768376461373,fob,4
1851,0.6000000000000001,0.5732665172562803,fob,6
1851,0.8,0.5936504815897923,fob,9
1851,1,0.5936504815897923,fob,9
1851,1.2,0.5936504815897923,fob,9
1851,1.4,0.5875711902680432,fob,11
1851,1.5999999999999999,0.5877238585773639,fob,11
1851,1.7999999999999998,0.5809504201199462,fob,12
1851,1.9999999999999998,0.5824997665950417,fob,12
1851,2.1999999999999997,0.5751288370556769,fob,13
1851,2.4,0.5590684485520002,fob,14
1851,2.6,0.5546420418113338,fob,15
1851,2.8000000000000003,0.5536636709312608,fob,15
1851,3.0000000000000004,0.5536636709312608,fob,15
1851,3.2000000000000006,0.5429077869119185,fob,17
1851,3.400000000000001,0.5416979743189942,fob,17
1851,3.600000000000001,0.5377866553154533,fob,18
1851,3.800000000000001,0.5310755393697932,fob,19
1852,0.4,0.5737422658343317,caf,4
1852,0.6000000000000001,0.5737422658343317,caf,4
1852,0.8,0.5890701332058578,caf,7
1852,1,0.588026102861893,caf,7
1852,1.2,0.5876879850486786,caf,9
1852,1.4,0.5811446025849615,caf,11
1852,1.5999999999999999,0.5804051225919619,caf,11
1852,1.7999999999999998,0.5804051225919619,caf,11
1852,1.9999999999999998,0.5574363080083403,caf,13
1852,2.1999999999999997,0.5583540289105142,caf,13
1852,2.4,0.5578272279689359,caf,13
1852,2.6,0.5578272279689359,caf,13
1852,2.8000000000000003,0.553131326732926,caf,14
1852,3.0000000000000004,0.5516059806920177,caf,14
1852,3.2000000000000006,0.5516059806920177,caf,14
1852,3.400000000000001,0.5509280188019089,caf,14
1852,3.600000000000001,0.5447162223487014,caf,15
1852,3.800000000000001,0.5447162223487014,caf,15
1852,0.4,0.5737422658343317,fob,4
1852,0.6000000000000001,0.5737422658343317,fob,4
1852,0.8,0.5890701332058578,fob,7
1852,1,0.5892085177729897,fob,7
1852,1.2,0.58565401343027,fob,8
1852,1.4,0.5868176035606477,fob,10
1852,1.5999999999999999,0.5804051225919619,fob,11
1852,1.7999999999999998,0.5804051225919619,fob,11
1852,1.9999999999999998,0.5574740785701197,fob,13
1852,2.1999999999999997,0.5581086054668293,fob,13
1852,2.4,0.5578272279689359,fob,13
1852,2.6,0.5578272279689359,fob,13
1852,2.8000000000000003,0.553131326732926,fob,14
1852,3.0000000000000004,0.552442408493594,fob,14
1852,3.2000000000000006,0.553131326732926,fob,14
1852,3.400000000000001,0.5462415683896098,fob,15
1852,3.600000000000001,0.5508902482401296,fob,14
1852,3.800000000000001,0.5508902482401296,fob,14
1853,0.4,0.5570779008174449,caf,4
1853,0.6000000000000001,0.5939188896926033,caf,7
1853,0.8,0.5934341532098937,caf,7
1853,1,0.5960507286485568,caf,7
1853,1.2,0.5956796752156133,caf,8
1853,1.4,0.5867474011600586,caf,10
1853,1.5999999999999999,0.5867474011600586,caf,10
1853,1.7999999999999998,0.5805834629956685,caf,11
1853,1.9999999999999998,0.572806099878933,caf,12
1853,2.1999999999999997,0.5548583514864742,caf,13
1853,2.4,0.5524491849762263,caf,13
1853,2.6,0.5524491849762263,caf,13
1853,2.8000000000000003,0.5509045238563408,caf,13
1853,3.0000000000000004,0.54499886858836,caf,14
1853,3.2000000000000006,0.5303096849928619,caf,16
1853,3.400000000000001,0.5221067606049563,caf,17
1853,3.600000000000001,0.5163660229603957,caf,18
1853,3.800000000000001,0.5221067606049563,caf,17
1853,0.4,0.5570779008174449,fob,4
1853,0.6000000000000001,0.5939188896926033,fob,7
1853,0.8,0.5934341532098937,fob,7
1853,1,0.5964102606035688,fob,7
1853,1.2,0.5956796752156133,fob,8
1853,1.4,0.5867474011600586,fob,10
1853,1.5999999999999999,0.5867474011600586,fob,10
1853,1.7999999999999998,0.5805834629956685,fob,11
1853,1.9999999999999998,0.569246988784953,fob,12
1853,2.1999999999999997,0.5548583514864742,fob,13
1853,2.4,0.5524491849762263,fob,13
1853,2.6,0.551498776149211,fob,13
1853,2.8000000000000003,0.5509045238563408,fob,13
1853,3.0000000000000004,0.5444046162954899,fob,14
1853,3.2000000000000006,0.5320638899069007,fob,16
1853,3.400000000000001,0.5221067606049563,fob,17
