key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-92","El Salvador","Greenland",0,"0","0",1883,"7238.25129284789","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-920","Greenland","New Zealand",0,"0","0",1883,"16141.9661711494","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-93","Greenland","Nicaragua",0,"0","0",1883,"7205.96169931265","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-930","Greenland","New Caledonia",0,"0","0",1883,"14163.6947703613","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-94","Costa Rica","Greenland",0,"0","0",1883,"7504.55661729524","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-950","Fiji","Greenland",0,"0","0",1883,"13547.6684266146","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-960","French Polynesia","Greenland",0,"0","0",1883,"12540.8171761567","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-9601","Greenland","Society Is.",0,"0","0",1883,"12546.221915197","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-101","Colombia (New Granada) (Gran Colombia)","Venezuela",0,"0","1",1883,"822.70345000825","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"100-1029","Colombia (New Granada) (Gran Colombia)","St. Pierre and Miquelon",0,"0","0",1883,"5041.83131438838","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-1032","Colombia (New Granada) (Gran Colombia)","Turks and Caicos Is.",0,"0","1",1883,"1985.44691135502","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-1048","Colombia (New Granada) (Gran Colombia)","Trinidad",0,"0","1",1883,"1507.23777741741","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-1055","Colombia (New Granada) (Gran Colombia)","Windward Is.",0,"0","1",1883,"1677.7792081041","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-1063","Colombia (New Granada) (Gran Colombia)","Leeward Is.",0,"0","1",1883,"1919.30047595","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-11","Colombia (New Granada) (Gran Colombia)","Faeroe Is.",0,"0","0",1883,"8412.31294706058","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-110","Colombia (New Granada) (Gran Colombia)","Guyana (British Guiana)",0,"0","1",1883,"1557.37129551373","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-115","Colombia (New Granada) (Gran Colombia)","Surinam (Dutch Guiana)",0,"0","1",1883,"1915.54803212069","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-1163","Colombia (New Granada) (Gran Colombia)","Falkland Is.",0,"0","1",1883,"6345.03617322626","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-120","Colombia (New Granada) (Gran Colombia)","French Guiana",0,"0","1",1883,"2248.67085544803","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-130","Colombia (New Granada) (Gran Colombia)","Ecuador",0,"0","1",1883,"767.480592844524","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"100-135","Colombia (New Granada) (Gran Colombia)","Peru",0,"0","1",1883,"1522.56033804714","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-140","Brazil","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"3002.48617639081","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"100-145","Bolivia","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"2513.76555342844","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-150","Colombia (New Granada) (Gran Colombia)","Paraguay",0,"0","1",1883,"3480.14175216729","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
