id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
365->2901,1841,2901,Congress Poland,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,329832.87404765765,365,,,,,,ok,
365->630,1841,630,Iran (Persia),GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,122515.96693143137,365,,,,,,ok,
365->Eurasian Steppe,1841,Eurasian Steppe,Eurasian Steppe,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,205407.84568001298,365,,,,,,ignore_resolved,
365->7030,1841,7030,Khiva,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,38544.01037445291,365,,,,,,ok,
365->7020,1841,7020,Bokhara,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,70497.16323553251,365,,,,,,ok,
365->704,1841,704,Uzbekistan,GPH,365,Russia (USSR),GPH-AUTONOMOUS-CITED,105308.47787323716,365,,,,,,ignore_resolved,
365->7010,1841,7010,Kokand,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,15457.448532987519,365,,,,,,ok,
365->Europe (other),1841,Europe (other),Europe (other),RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,167149.78116388395,365,,167149.78116388395,,11|212|221|223|225|231|232|240|241|242|243|244|245|247|250|251|252|253|254|257|258|259|261|262|264|266|267|268|269|270|271|272|273|274|275|277|280|327|331|338|341|342|350|395|2003|2004|2101|2111|2246|2247|2248|2249|2333|2902|2903|3327|3349|3361|3362|3504|3654|3761|3762|restOfTheWorld,,split_failed_no_ratio,
365->Asia (other),1841,Asia (other),Asia (other),RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,412.3845031609662,365,,412.3845031609662,,651|670|672|674|678|681|690|692|694|696|698|700|705|720|721|730|740|741|750|751|752|775|780|781|790|800|811|815|824|835|840|850|860|6306|6800|6821|6822|6823|6825|6826|6828|6832|6833|6844|6846|7001|7002|7003|7070|7121|7411|7501|7504|7505|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7549|7552|7553|7570|7573|7574|7577|7579|7581|7582|7584|7585|7586|7587|7588|7691|7693|7694|7702|7703|7704|7706|7707|7709|7750|7751|7752|7755|7756|7757|7758|7760|7762|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7782|7783|7784|7785|7786|7787|7788|7792|7793|7794|7795|7796|7797|8002|8124|8171|8201|8202|8203|8210|8221|8223|8401|8501|8502|8503|8510|8520|8521|8522|8523|8531|8532|8533|8536|8541|8550|8551|8560|8571|8572|8573|8574|restOfTheWorld,,split_failed_no_ratio,
365->710,1841,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1162639.4877613876,365,,,,,,ok,
