id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
230<-651,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,,,,5279.591836734694,230,,,,,,ok,
230->327,1861,327,Papal States,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,30448.73469387755,230,,,,,,ok,
230<-327,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,327,Papal States,GPH-AUTONOMOUS-CITED,,,,78275.8163265306,230,,,,,,ok,
230->220,1861,220,France,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,3297245.275510204,230,,,,,,ok,
230<-220,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,7327524.6122448975,230,,,,,,ok,
230->231,1861,231,Gibraltar,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,439911.7244897959,230,,,,,,ok,
230<-231,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,231,Gibraltar,GPH-AUTONOMOUS-CITED,,,,896592.5918367347,230,,,,,,ok,
230->350,1861,350,Greece,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,1053.265306122449,230,,,,,,ok,
230<-350,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,350,Greece,GPH-AUTONOMOUS-CITED,1,,,285.7142857142857,230,,,,,,ok,
230->248,1861,248,Hamburg,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,97991.60204081633,230,,,,,,ok,
230<-248,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,248,Hamburg,GPH-AUTONOMOUS-CITED,1,,,6144.030612244898,230,,,,,,ok,
230->210,1861,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,148131.95918367346,230,,,,,,ok,
230<-210,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,41533.357142857145,230,,,,,,ok,
230->200,1861,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,3825126.4285714286,230,,,,,,ok,
230<-200,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,5753326.479591837,230,,,,,,ok,
230->40,1861,40,Cuba,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,2410745.387755102,230,,,,,,ok,
230<-40,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,40,Cuba,GPH-AUTONOMOUS-CITED,,,,1897162.8673469387,230,,,,,,ok,
230->42,1861,42,Dominican Republic (Santo Domingo),GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,2871.877551020408,230,,,,,,ok,
230<-42,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,42,Dominican Republic (Santo Domingo),GPH-AUTONOMOUS-CITED,,,,14666.938775510203,230,,,,,,ok,
230<-410,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,410,Canary Is.,GPH,,,,3204.530612244898,230,,,,,,ignore_resolved,
230->840,1861,840,Philippines,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,65165.28571428572,230,,,,,,ok,
230<-840,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,840,Philippines,GPH-AUTONOMOUS-CITED,1,,,179806.8469387755,230,,,,,,ok,
230->338,1861,338,Malta,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,1124.9795918367347,230,,,,,,ok,
230<-338,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,338,Malta,GPH-AUTONOMOUS-CITED,1,,,859.234693877551,230,,,,,,ok,
230->600,1861,600,Morocco,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,724.8979591836735,230,,,,,,ok,
230<-600,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,600,Morocco,GPH-AUTONOMOUS-CITED,,,,19484.397959183672,230,,,,,,ok,
230->235,1861,235,Portugal,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,434928.7244897959,230,,,,,,ok,
230<-235,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,235,Portugal,GPH-AUTONOMOUS-CITED,1,,,108834.0306122449,230,,,,,,ok,
230->Danish America,1861,Danish America,Danish America,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,3414.3367346938776,230,,3414.3367346938776,,5|10,,split_failed_no_ratio,
230->French America,1861,French America,French America,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,2975.061224489796,230,,2975.061224489796,,65|66|120|1029,,split_failed_no_ratio,
230->Dutch Asia,1861,Dutch Asia,Dutch Asia,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,1160,230,,,,,,ignore_resolved,
230->British America,1861,British America,British America,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,27708.581632653062,230,,27708.581632653062,,20|21|30|31|51|54|110|1022|1023|1024|1027|1028|1032|1048|1055|1063|1163,,split_failed_no_ratio,
230<-British America,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,British America,British America,RIC,,,,208960.20408163266,230,,208960.20408163266,,20|21|30|31|51|54|110|1022|1023|1024|1027|1028|1032|1048|1055|1063|1163,,split_failed_no_ratio,
230->British Asia,1861,British Asia,British Asia,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,120.20408163265306,230,,120.20408163265306,,720|750|780|7501|8231,,split_failed_no_ratio,
230->Portuguese Africa,1861,Portuguese Africa,Portuguese Africa,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,688.3979591836735,230,,688.3979591836735,,402|403|540|541,,split_failed_no_ratio,
230->Portuguese Asia,1861,Portuguese Asia,Portuguese Asia,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,294.9387755102041,230,,294.9387755102041,,721|752|860,,split_failed_no_ratio,
230->239,1861,239,Prussia,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,5850.938775510204,230,,,,,,ok,
230<-239,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,239,Prussia,GPH-AUTONOMOUS-CITED,,,,13394.622448979591,230,,,,,,ok,
230->6,1861,6,Puerto Rico,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,127816.23469387754,230,,,,,,ok,
230<-6,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,6,Puerto Rico,GPH-AUTONOMOUS-CITED,1,,,120822.04081632652,230,,,,,,ok,
230->155,1861,155,Chile,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,14770.826530612245,230,,,,,,ok,
230->90,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,2033.1224489795918,230,,,,,,ok,
230<-90,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,30123.714285714286,230,,,,,,ok,
230->160,1861,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,367344.51020408166,230,,,,,,ok,
230<-160,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,,,,157031.5918367347,230,,,,,,ok,
230->2,1861,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,240539.14285714287,230,,,,,,ok,
230<-2,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,1482470.3265306123,230,,,,,,ok,
230->70,1861,70,Mexico,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,80861.76530612246,230,,,,,,ok,
230<-70,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,70,Mexico,GPH-AUTONOMOUS-CITED,1,,,50168.816326530614,230,,,,,,ok,
230<-100,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,100,Colombia (New Granada) (Gran Colombia),GPH-AUTONOMOUS-CITED,,,,414.0816326530612,230,,,,,,ok,
230->101,1861,101,Venezuela,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,60707.336734693876,230,,,,,,ok,
230<-101,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,101,Venezuela,GPH-AUTONOMOUS-CITED,,,,254930.9081632653,230,,,,,,ok,
230->130,1861,130,Ecuador,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,14180.857142857143,230,,,,,,ok,
230<-130,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,130,Ecuador,GPH-AUTONOMOUS-CITED,,,,170714.05102040817,230,,,,,,ok,
230->135,1861,135,Peru,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,16468.11224489796,230,,,,,,ok,
230<-135,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,135,Peru,GPH-AUTONOMOUS-CITED,,,,134587.74489795917,230,,,,,,ok,
230->165,1861,165,Uruguay,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,112991.48979591837,230,,,,,,ok,
230<-165,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,165,Uruguay,GPH-AUTONOMOUS-CITED,,,,68851.6530612245,230,,,,,,ok,
230->365,1861,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,170319.4081632653,230,,,,,,ok,
230<-365,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,44932.163265306124,230,,,,,,ok,
230->380,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,57511.102040816324,230,,,,,,ok,
230<-380,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,418155.9387755102,230,,,,,,ok,
230->6030,1861,6030,Tetuan,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,41309.76530612245,230,,,,,,ok,
230<-6030,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,6030,Tetuan,GPH-AUTONOMOUS-CITED,,,,2131.3979591836733,230,,,,,,ok,
230->337,1861,337,Tuscany,GPH,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,52112.0918367347,230,,,,,,ignore_resolved,
230<-337,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,337,Tuscany,GPH,,,,84576.29591836735,230,,,,,,ignore_resolved,
230->616,1861,616,Tunisia (Regency of Tunis),GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,8174.938775510204,230,,,,,,ok,
230<-616,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,616,Tunisia (Regency of Tunis),GPH-AUTONOMOUS-CITED,,,,219.59183673469389,230,,,,,,ok,
230->640,1861,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,256.2448979591837,230,,,,,,ok,
230<-640,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,,,,3285.714285714286,230,,,,,,ok,
