"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"540->235",1968,"235","Portugal","GPH","540","Angola","GPH",38953974.8953975,"540",NA,NA,NA,NA,NA,"ok",NA
"840->600",1968,"600","Morocco","GPH","840","Philippines","GPH",41841.0041841004,"840",NA,NA,NA,NA,NA,"ok",NA
"51->2",1968,"2","United States of America","GPH","51","Jamaica","GPH",35857740.5857741,"51",NA,NA,NA,NA,NA,"ok",NA
"51->740",1968,"740","Japan","GPH","51","Jamaica","GPH",334728.033472803,"51",NA,NA,NA,NA,NA,"ok",NA
"51->110",1968,"110","Guyana (British Guiana)","GPH","51","Jamaica","GPH",669456.066945607,"51",NA,NA,NA,NA,NA,"ok",NA
"51->101",1968,"101","Venezuela","GPH","51","Jamaica","GPH",41841.0041841004,"51",NA,NA,NA,NA,NA,"ok",NA
"512->2",1968,"2","United States of America","GPH","512","Tanzania (Tanganyika)","GPH",7410041.84100418,"512",NA,NA,NA,NA,NA,"ok",NA
"800->590",1968,"590","Mauritius","GPH","800","Thailand (Siam)","GPH",753138.075313807,"800",NA,NA,NA,NA,NA,"ok",NA
"130->720",1968,"720","Hong Kong","GPH","130","Ecuador","GPH",4184.10041841004,"130",NA,NA,NA,NA,NA,"ok",NA
"541->666",1968,"666","Israel","GPH","541","Mozambique (Portuguese East Africa)","GPH",41841.0041841004,"541",NA,NA,NA,NA,NA,"ok",NA
"820->360",1968,"360","Romania","GPH","820","Malaysia (British Malaya)","GPH",1694560.66945607,"820",NA,NA,NA,NA,NA,"ok",NA
"11->210",1968,"210","Netherlands","GPH","11","Faeroe Is.","GPH",74058.5774058577,"11",NA,NA,NA,NA,NA,"ok",NA
"140->385",1968,"385","Norway","GPH","140","Brazil","GPH",7573221.75732218,"140",NA,NA,NA,NA,NA,"ok",NA
"820->560",1968,"560","South Africa","GPH","820","Malaysia (British Malaya)","GPH",1259414.22594142,"820",NA,NA,NA,NA,NA,"ok",NA
"52->380",1968,"380","Sweden","GPH","52","Trinidad and Tobago","GPH",14895397.4895397,"52",NA,NA,NA,NA,NA,"ok",NA
"625->390",1968,"390","Denmark","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",209205.020920502,"625",NA,NA,NA,NA,NA,"ok",NA
"205->713",1968,"713","Republic of China (Taiwan) (Formosa)","GPH","205","Ireland","GPH",41841.0041841004,"205",NA,NA,NA,NA,NA,"ok",NA
"625->290",1968,"290","Poland","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",2133891.21338912,"625",NA,NA,NA,NA,NA,"ok",NA
"800->815",1968,"815","Vietnam","GPH","800","Thailand (Siam)","GPH",3640167.36401674,"800",NA,NA,NA,NA,NA,"ok",NA
"150->305",1968,"305","Austria","GPH","150","Paraguay","GPH",12970.7112970711,"150",NA,NA,NA,NA,NA,"ok",NA
"150->130",1968,"130","Ecuador","GPH","150","Paraguay","GPH",60669.4560669456,"150",NA,NA,NA,NA,NA,"ok",NA
"205->135",1968,"135","Peru","GPH","205","Ireland","GPH",125523.012552301,"205",NA,NA,NA,NA,NA,"ok",NA
"780->360",1968,"360","Romania","GPH","780","Sri Lanka (Ceylon)","GPH",962343.09623431,"780",NA,NA,NA,NA,NA,"ok",NA
"150->740",1968,"740","Japan","GPH","150","Paraguay","GPH",287447.69874477,"150",NA,NA,NA,NA,NA,"ok",NA
"165->220",1968,"220","France","GPH","165","Uruguay","GPH",2133891.21338912,"165",NA,NA,NA,NA,NA,"ok",NA
"11->235",1968,"235","Portugal","GPH","11","Faeroe Is.","GPH",165271.966527197,"11",NA,NA,NA,NA,NA,"ok",NA
"540->350",1968,"350","Greece","GPH","540","Angola","GPH",125523.012552301,"540",NA,NA,NA,NA,NA,"ok",NA
"205->815",1968,"815","Vietnam","GPH","205","Ireland","GPH",41841.0041841004,"205",NA,NA,NA,NA,NA,"ok",NA
"150->100",1968,"100","Colombia (New Granada) (Gran Colombia)","GPH","150","Paraguay","GPH",6276.15062761506,"150",NA,NA,NA,NA,NA,"ok",NA
"205->90",1968,"90","Guatemala","GPH","205","Ireland","GPH",41841.0041841004,"205",NA,NA,NA,NA,NA,"ok",NA
"150->560",1968,"560","South Africa","GPH","150","Paraguay","GPH",4184.10041841004,"150",NA,NA,NA,NA,NA,"ok",NA
"140->830",1968,"830","Singapore","GPH","140","Brazil","GPH",251046.025104603,"140",NA,NA,NA,NA,NA,"ok",NA
"150->140",1968,"140","Brazil","GPH","150","Paraguay","GPH",97071.129707113,"150",NA,NA,NA,NA,NA,"ok",NA
"150->615",1968,"615","Algeria (Regency of Algiers)","GPH","150","Paraguay","GPH",43514.6443514644,"150",NA,NA,NA,NA,NA,"ok",NA
"31->110",1968,"110","Guyana (British Guiana)","GPH","31","Bahamas","GPH",4184.10041841004,"31",NA,NA,NA,NA,NA,"ok",NA
"551->385",1968,"385","Norway","GPH","551","Zambia (Northern Rhodesia)","GPH",251046.025104603,"551",NA,NA,NA,NA,NA,"ok",NA
"165->380",1968,"380","Sweden","GPH","165","Uruguay","GPH",543933.054393305,"165",NA,NA,NA,NA,NA,"ok",NA
"225->325",1968,"325","Italy","GPH","225","Switzerland","GPH",147280334.728033,"225",NA,NA,NA,NA,NA,"ok",NA
"31->53",1968,"53","Barbados","GPH","31","Bahamas","GPH",142259.414225941,"31",NA,NA,NA,NA,NA,"ok",NA
"110->140",1968,"140","Brazil","GPH","110","Guyana (British Guiana)","GPH",125523.012552301,"110",NA,NA,NA,NA,NA,"ok",NA
"420->385",1968,"385","Norway","GPH","420","Gambia","GPH",125941.422594142,"420",NA,NA,NA,NA,NA,"ok",NA
"930->220",1968,"220","France","GPH","930","New Caledonia","GPH",22058158.9958159,"930",NA,NA,NA,NA,NA,"ok",NA
"11->290",1968,"290","Poland","GPH","11","Faeroe Is.","GPH",836.820083682008,"11",NA,NA,NA,NA,NA,"ok",NA
"150->200",1968,"200","United Kingdom","GPH","150","Paraguay","GPH",2210041.84100418,"150",NA,NA,NA,NA,NA,"ok",NA
"101->451",1968,"451","Sierra Leone","GPH","101","Venezuela","GPH",292887.029288703,"101",NA,NA,NA,NA,NA,"ok",NA
"551->305",1968,"305","Austria","GPH","551","Zambia (Northern Rhodesia)","GPH",2301255.23012552,"551",NA,NA,NA,NA,NA,"ok",NA
"150->101",1968,"101","Venezuela","GPH","150","Paraguay","GPH",5020.92050209205,"150",NA,NA,NA,NA,NA,"ok",NA
"150->155",1968,"155","Chile","GPH","150","Paraguay","GPH",427196.652719665,"150",NA,NA,NA,NA,NA,"ok",NA
"165->666",1968,"666","Israel","GPH","165","Uruguay","GPH",1966527.19665272,"165",NA,NA,NA,NA,NA,"ok",NA
"31->140",1968,"140","Brazil","GPH","31","Bahamas","GPH",20920.5020920502,"31",NA,NA,NA,NA,NA,"ok",NA
"434->2",1968,"2","United States of America","GPH","434","Benin (Dahomey)","GPH",2020502.09205021,"434",NA,NA,NA,NA,NA,"ok",NA
"551->380",1968,"380","Sweden","GPH","551","Zambia (Northern Rhodesia)","GPH",8744769.87447699,"551",NA,NA,NA,NA,NA,"ok",NA
"150->660",1968,"660","Lebanon","GPH","150","Paraguay","GPH",12552.3012552301,"150",NA,NA,NA,NA,NA,"ok",NA
"51->900",1968,"900","Australia","GPH","51","Jamaica","GPH",83682.0083682008,"51",NA,NA,NA,NA,NA,"ok",NA
"830->630",1968,"630","Iran (Persia)","GPH","830","Singapore","GPH",887029.288702929,"830",NA,NA,NA,NA,NA,"ok",NA
"830->812",1968,"812","Laos","GPH","830","Singapore","GPH",426778.242677824,"830",NA,NA,NA,NA,NA,"ok",NA
