id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
20<-5,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,3305.6244830438377,20,,,,,,ok,
20<-110,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,110,Guyana (British Guiana),GPH-AUTONOMOUS-CITED,21544.251447477254,20,,,,,,ok,
20<-401,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,401,Madeira Isles,GPH,41.35649296939619,20,,,,,,ignore_resolved,
20<-4,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,4,Hawaii (Sandwich Is.),GPH-AUTONOMOUS-CITED,3275.6410256410254,20,,,,,,ok,
20<-British East Indies,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,British East Indies,British East Indies,RIC,4825.268817204301,20,,4825.268817204301,,720|750|780|827|8201|8202|8210|8218|8231,,split_failed_no_ratio,
20<-1029,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,1029,St. Pierre and Miquelon,GPH-AUTONOMOUS-CITED,2490.4880066170385,20,,,,,,ok,
20<-21,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,21,Newfoundland and Labrador (Newfoundland),GPH-AUTONOMOUS-CITED,120339.33002481388,20,,,,,,ok,
20<-Norway & Sweden,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,Norway & Sweden,Norway & Sweden,RIC,1904.0529363110006,20,,,,,,ignore_resolved,
20<-900,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,900,Australia,GPH,388.9578163771712,20,,388.9578163771712,,901|902|903|904|905|906,,split_failed_no_ratio,
20<-365,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,36.60049627791563,20,,,,,,ok,
20<-390,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,110.83540115798179,20,,,,,,ok,
20<-850,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,850,Indonesia (Dutch East Indies),GPH-AUTONOMOUS-CITED,48702.0264681555,20,,,,,,ok,
