id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
40->British West Indies,1917,British West Indies,British West Indies,RIC,40,Cuba,GPH-AUTONOMOUS-CITED,347450.0311310112,40,,347450.0311310112,,31|51|52|53|1055|1063,,split_failed_no_ratio,
40->160,1917,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,445272.50422785844,40,,,,,,ok,
40->30,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,51.37130563255543,40,,,,,,ok,
40->145,1917,145,Bolivia,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,1891.9024438357515,40,,,,,,ok,
40->140,1917,140,Brazil,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,2590.757685661036,40,,,,,,ok,
40->20,1917,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,279675.0456690907,40,,,,,,ok,
40->100,1917,100,Colombia (New Granada) (Gran Colombia),GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,30431.95048628078,40,,,,,,ok,
40->94,1917,94,Costa Rica,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,1568.4687035731824,40,,,,,,ok,
40->155,1917,155,Chile,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,275292.04587252106,40,,,,,,ok,
40->130,1917,130,Ecuador,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,2029.7830281535303,40,,,,,,ok,
40->90,1917,90,Guatemala,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,2627.5395404939454,40,,,,,,ok,
40->41,1917,41,Haiti,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,1540.1117428640118,40,,,,,,ok,
40->91,1917,91,Honduras,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,652.0046110883936,40,,,,,,ok,
40->70,1917,70,Mexico,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,205195.4883664541,40,,,,,,ok,
40->93,1917,93,Nicaragua,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,265.28142228651626,40,,,,,,ok,
40->95,1917,95,Panama,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,13299.414572601012,40,,,,,,ok,
40->135,1917,135,Peru,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,14511.36641508426,40,,,,,,ok,
40->6,1917,6,Puerto Rico,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,14441.090468978924,40,,,,,,ok,
40->92,1917,92,El Salvador,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,102.74261126511087,40,,,,,,ok,
40->42,1917,42,Dominican Republic (Santo Domingo),GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,5182.953767879783,40,,,,,,ok,
40->165,1917,165,Uruguay,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,78480.76555574506,40,,,,,,ok,
40->101,1917,101,Venezuela,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,1775.8032931061762,40,,,,,,ok,
40->211,1917,211,Belgium,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,4.1097044506044345,40,,,,,,ok,
40->390,1917,390,Denmark,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,21095.112944952565,40,,,,,,ok,
40->230,1917,230,Spain,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,2783543.715953667,40,,,,,,ok,
40->220,1917,220,France,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,2387045.8006012496,40,,,,,,ok,
40->231,1917,231,Gibraltar,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,8416.880200060412,40,,,,,,ok,
40->210,1917,210,Netherlands,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,8680.928711011748,40,,,,,,ok,
40->325,1917,325,Italy,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,170954.45831013063,40,,,,,,ok,
40->385,1917,385,Norway,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,10894.004557662236,40,,,,,,ok,
40->235,1917,235,Portugal,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,11477.171619203005,40,,,,,,ok,
40->200,1917,200,United Kingdom,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,15116264.771818934,40,,,,,,ok,
