"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"645","681","645-681",0.758856871501888,"0.0000017701660460616056",0.95,0.05,0.19,"2",1.77016604606161e-06,1,1,"Aden","Dependency of",2,0.311785714285714,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,7017.08005320274,NA
"645","740","645-740",1.987891848043,"0.00032620352715406926|0.0000010474056683866984",0.6,0.4,0.96,"1",0.000326203527154069,1,1,"Japan","Sovereign",1,0.411052631578948,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,1293096.92091876,4152
"645","750","645-750",1.75188163410852,"0.00008137150515179079|0.00008331138347825442",0.75,0.25,0.75,"2",8.33113834782544e-05,1,1,"India","Colony of",2,0.465609756097561,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,322563.166867931,330253
"645","780","645-780",1.38331651385238,"0.00002124811545768096",0.5,0.5,1,"bridge",2.1248115457681e-05,1,1,"Sri Lanka (Ceylon)","Colony of",3,0.375652173913044,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,84229.2323242612,NA
"645","850","645-850",0.145627770966216,"0.000021137312368526364",0.55,0.45,0.99,"3",2.11373123685264e-05,1,1,"Indonesia (Dutch East Indies)","Colony of",3,0.497826086956522,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,83790,NA
"65","110","110-65",2.74881952046648,"0.000002134669259606995|5.267300182060275e-7",1,0,0,"4",2.134669259607e-06,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,1,1,"Guadeloupe","Colony of",4,0.068,8462,2088
"65","42","42-65",2.45957967667497,"0.0000024035841060665856",0.95,0.05,0.19,"1",2.40358410606659e-06,1,1,"Dominican Republic (Santo Domingo)","Sovereign",1,0.146428571428571,1,1,"Guadeloupe","Colony of",4,0.068,9528,NA
"65","52","52-65",2.96664896888587,"0.000004929516899312253|0.0000019787692829540617",1,0,0,"4",4.92951689931225e-06,1,1,"Trinidad and Tobago","Colony of",4,0.0304347826086957,1,1,"Guadeloupe","Colony of",4,0.068,19541,7844
"65","53","53-65",1.61684209548931,"1.284030552044387e-7|0.0000011344372087512002",1,0,0,"4",1.1344372087512e-06,1,1,"Barbados","Colony of",4,0.0135714285714286,1,1,"Guadeloupe","Colony of",4,0.068,509,4497
"65","615","615-65",0.342931218124211,"0.0000033045443191793374",0,1,0,"bridge",3.30454431917934e-06,1,1,"Algeria (Regency of Algiers)","Colony of",6,0.6,1,1,"Guadeloupe","Colony of",4,0.068,13099.4784803542,NA
"65","810","65-810",0.0274759736076701,"0.0000011611773341965253",0,1,0,"bridge",1.16117733419653e-06,1,1,"French Indochina","Colony of",3,0.580666666666667,1,1,"Guadeloupe","Colony of",4,0.068,4603,NA
"651","220","220-651",0.66847782420793,"0.00044626631401866904|0.0009771030763593986",0,1,0,"bridge",0.000977103076359399,1,1,"France","Sovereign",3,0.3068,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,1769035.42889882,3873314.89172963
"651","225","225-651",0.548992193035377,"0.0000897890162165445|0.0002604781125529492",1,0,0,"6",0.000260478112552949,1,1,"Switzerland","Sovereign",6,0.15375,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,355930.855239037,1032556.11074329
"651","230","230-651",1.31573295090378,"0.0000050039447973661125|0.0004033646073091169",0.05,0.95,0.19,"bridge",0.000403364607309117,1,1,"Spain","Sovereign",1,0.232,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,19836.0381519279,1598969.62571061
"651","255","255-651",0.201238277916594,"0.0007945956084532315|0.0007233708680355915",0.85,0.15,0.51,"6",0.000794595608453232,1,1,"Germany (Zollverein)","Sovereign",6,0.267910447761194,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,3149840.6642953,2867500.08591219
"651","290","290-651",0.744675447916636,"0.000050523798880259394|0.00013464409957724386",1,0,0,"6",0.000134644099577244,1,1,"Poland","Sovereign",6,0.160322580645161,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,200280.387324951,533740
"651","338","338-651",0.830173774113866,"8.48368319553099e-7|0.000006626629046016478",0.7,0.3,0.84,"6",6.62662904601648e-06,1,1,"Malta","Colony of",6,0.364166666666667,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,3363,26268.4885422087
"651","339","339-651",0.230207335050032,"1.599845104170148e-7|0.0000020644179743153786",1,0,0,"6",2.06441797431538e-06,1,1,"Albania","Sovereign",6,0.051,1,1,"Egypt Arab Republic (Egypt)","Occupied by",6,0.170512820512821,634.191419141914,8183.51827574118
