"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"220","66","220-66",2.43432933745918,"0.0017106150094311093|0.0010768928304695634",1,0,0,0.00171061500943111,NA,NA,"Martinique",NA,5,1,"LA",0,NA,NA,"France",NA,5,3,"WE",0,887168.93765349,558504.317515646
"225","211","211-225",0.113124876241236,"0.001037395526729737",0,1,0,0.00103739552672974,NA,NA,"Belgium",NA,1,3,"WE",0,NA,NA,"Switzerland",NA,6,3,"WE",0,538020.000000689,NA
"225","220","220-225",1.1495735099806,"0.013235853015629455",0,1,0,0.0132358530156295,NA,NA,"France",NA,5,3,"WE",0,NA,NA,"Switzerland",NA,6,3,"WE",0,6864453.77485542,NA
"230","101","101-230",0.562545433310494,"0.00008909352981152844",0,1,0,8.90935298115284e-05,NA,NA,"Venezuela",NA,3,3,"WE",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,46206.1958762887
"230","130","130-230",1.15874434884873,"0.000020969833284144074",0.8,0.2,0.64,2.09698332841441e-05,NA,NA,"Ecuador",NA,6,3,"WE",0.16,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,10875.4948453608
"230","160","160-230",1.44158430439067,"0.0007781187825624937|0.00011605367004938781",1,0,0,0.000778118782562494,NA,NA,"Argentina (La Plata)",NA,6,3,"WE",0.102,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,60188.4179671407,403552.412371134
"230","165","165-230",1.24979530501723,"0.00026029674757404057",0.05,0.95,0.19,0.000260296747574041,NA,NA,"Uruguay",NA,7,3,"WE",0.076,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,134996.587628866
"230","200","200-230",0.0501537554442413,"0.007584324186146335|0.0067651022260810404",0,1,0,0.00758432418614634,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,3508556,3933425.57731959
"230","211","211-230",0.0571156838373943,"0.00017204179402535298|0.0009923472401045332",0,1,0,0.000992347240104533,NA,NA,"Belgium",NA,1,3,"WE",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,514656.800000659,89225.2989690722
"230","220","220-230",1.11932208370064,"0.005059698092740762|0.0129914518058775",0,1,0,0.0129914518058775,NA,NA,"France",NA,5,3,"WE",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,6737701.02194407,2624089.55670103
"230","40","230-40",2.54266382575536,"0.004924179708026756",1,0,0,0.00492417970802676,NA,NA,"Cuba",NA,6,1,"LA",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,2553806.2371134
"230","42","230-42",0.547771686686739,"0.000009307568370520532",0,1,0,9.30756837052053e-06,NA,NA,"Dominican Republic (Santo Domingo)",NA,3,3,"WE",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,4827.14432989691
"230","6","230-6",1.60703003270233,"0.0002429912178435832|0.00020720640064283158",0,1,0,0.000242991217843583,NA,NA,"Puerto Rico",NA,3,6,"LA",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,107462.568327656,126021.494845361
"230","90","230-90",3.72287573970379,"0.000001820314386132646",1,0,0,1.82031438613265e-06,NA,NA,"Guatemala",NA,6,6,"LA",0,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,944.061855670103
"231","2","2-231",0.0266356828327039,"0.0005723221458015974",0,1,0,0.000572322145801597,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Gibraltar",NA,6,1,"AS",0,296820.983849094,NA
"231","200","200-231",1.20834625759291,"0.0003292104383610803|0.0024447302857495083",0,1,0,0.00244473028574951,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Gibraltar",NA,6,1,"AS",0,1267900,170737
