key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
110-200,200,110,1.228942973545596,0.0005517001015106561|0.0007984243091273548,0,1,0,bridge,0.0007984243091273548,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Guyana (British Guiana),Colony of,2,0.01583333333333335
200-80,200,80,1.1941324257698986,0.00008224838425578155|0.00011479486587522438,0,1,0,bridge,0.00011479486587522438,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Belize (British Honduras),Colony of,4,0
1163-200,200,1163,1.3117857688619778,0.000019188980322559857|0.00007026856366901465,0.9,0.09999999999999998,0.35999999999999993,1,0.00007026856366901465,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Falkland Is.,Colony of,1,0.05999999999999999
200-51,51,200,0.43767760409051476,0.0005405025017422438,0,1,0,bridge,0.0005405025017422438,1,1,Jamaica,Colony of,5,0,1,1,United Kingdom,Sovereign,1,0.1331944444444445
2-51,51,2,1.8635976697582741,0.0006157882345736808,0,1,0,bridge,0.0006157882345736808,1,1,Jamaica,Colony of,5,0,1,1,United States of America,Sovereign,4,0.09404255319148937
20-51,51,20,0.4672080400073354,0.000024429295897633404,0,1,0,bridge,0.000024429295897633404,1,1,Jamaica,Colony of,5,0,1,1,Canada (Province of Canada),Colony of,2,0
211-51,51,211,3.252796223773898,0.000001497578271185507|6.304490344438174e-8,1,0,0,5,0.000001497578271185507,1,1,Jamaica,Colony of,5,0,1,1,Belgium,Sovereign,5,0.020000000000000004
2-94,2,94,2.291165146620247,0.00017568367188950084,1,0,0,4,0.00017568367188950084,1,1,United States of America,Sovereign,4,0.09404255319148937,1,,Costa Rica,Sovereign,4,0
2-90,2,90,2.1419496341517847,0.0001465098075119267,1,0,0,4,0.0001465098075119267,1,1,United States of America,Sovereign,4,0.09404255319148937,1,,Guatemala,Sovereign,4,0
2-91,2,91,2.1177474961911726,0.0001110322509462398,1,0,0,4,0.0001110322509462398,1,1,United States of America,Sovereign,4,0.09404255319148937,1,,Honduras,Sovereign,4,0.21
2-93,2,93,2.280754036448778,0.00014211750530006132,1,0,0,4,0.00014211750530006132,1,1,United States of America,Sovereign,4,0.09404255319148937,1,,Nicaragua,Sovereign,4,0
