key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
640-652,640,652,9.880461251161453,0.00004850426129836256|0.001116128586214068,1,0,0,0,0.001116128586214068,1,,Turkey (Ottoman Empire),Sovereign,0,0,1,Syria,Occupied by,0,0
220-616,616,220,0.9751678689557914,0.0002675093890207535,1,0,0,0,0.0002675093890207535,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,France,Sovereign,0,0
324-616,616,324,5.777473283780326,0.0001078462249419657,1,0,0,0,0.0001078462249419657,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Kingdom of Sardinia,Sovereign,0,0
329-616,616,329,3.365670641570092,0.00004608205752814346,1,0,0,0,0.00004608205752814346,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Two Sicilies,Sovereign,0,0
337-616,616,337,27.884395917237054,0.0003182351781169863,1,0,0,0,0.0003182351781169863,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Tuscany,Sovereign,0,0
350-616,616,350,47.01651411079498,0.00013266354446978747,1,0,0,0,0.00013266354446978747,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Greece,Sovereign,0,0
615-616,616,615,16.495173552475475,0.00007551773304171528,1,0,0,0,0.00007551773304171528,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Algeria (Regency of Algiers),Colony of,0,0
616-640,616,640,44.28531879945142,0.00038806878071470153|0.000027067228103282434,1,0,0,0,0.00038806878071470153,1,,Tunisia (Regency of Tunis),Sovereign,0,0,1,Turkey (Ottoman Empire),Sovereign,0,0
338-640,640,338,1.2834789020092057,0.00005899809875637342,1,0,0,0,0.00005899809875637342,1,,Turkey (Ottoman Empire),Sovereign,0,0,1,Malta,Colony of,0,0
101-276,101,276,7.555816503491201,7.379229494497318e-7,1,0,0,4,7.379229494497318e-7,1,1,Venezuela,Sovereign,4,0,1,Lübeck,Sovereign (limited),4,0
101-248,101,248,8.40544626314946,0.0005662418210650269|0.0007524466147729924,0,1,0,bridge,0.0007524466147729924,1,1,Venezuela,Sovereign,4,0,1,Hamburg,Sovereign (unrecognized),3,0
140-276,140,276,2.6296513862837574,0.0000012544690140645442,0,1,0,bridge,0.0000012544690140645442,1,,Brazil,Sovereign,3,0,1,Lübeck,Sovereign (limited),4,0
2-276,2,276,0.33780491086699516,0.00000409211817422124,1,0,0,4,0.00000409211817422124,1,1,United States of America,Sovereign,4,0,1,Lübeck,Sovereign (limited),4,0
200-780,200,780,3.074778488061903,0.0018861914343075604,1,0,0,1,0.0018861914343075604,1,1,United Kingdom,Sovereign,1,0,1,Sri Lanka (Ceylon),Colony of,1,0
200-750,200,750,2.8687913296396266,0.026864816189276487,1,0,0,1,0.026864816189276487,1,1,United Kingdom,Sovereign,1,0,1,India,Colony of,1,0
210-276,210,276,5.093217216643506,0.0000034816546433128257,0,1,0,bridge,0.0000034816546433128257,1,1,Netherlands,Sovereign,5,0,1,Lübeck,Sovereign (limited),4,0
211-276,211,276,2.8617827974865393,0.00000324686097757882,0,1,0,bridge,0.00000324686097757882,1,1,Belgium,Sovereign,3,0,1,Lübeck,Sovereign (limited),4,0
211-246,211,246,2.7212756247700294,0.0010140134667911242,0,1,0,bridge,0.0010140134667911242,1,1,Belgium,Sovereign,3,0,1,Bremen,Sovereign (unrecognized),4,0
220-590,220,590,0.25503378699978363,0.0005001172164038815,0,1,0,bridge,0.0005001172164038815,1,1,France,Sovereign,0,0,1,Mauritius,Colony of,6,0
220-6,220,6,1.0113841495701674,0.0005667650755200913,0,1,0,bridge,0.0005667650755200913,1,1,France,Sovereign,0,0,1,Puerto Rico,Colony of,4,0
220-40,220,40,0.3353242389385578,0.0025787388307565834,0,1,0,bridge,0.0025787388307565834,1,1,France,Sovereign,0,0,1,Cuba,Colony of,4,0
239-276,239,276,0.5767136151022774,4.0921181742212403e-7,0,1,0,bridge,4.0921181742212403e-7,1,,Prussia,Sovereign,3,0,1,Lübeck,Sovereign (limited),4,0
239-246,239,246,0.5254353491411188,0.00012831138412840927,0,1,0,bridge,0.00012831138412840927,1,,Prussia,Sovereign,3,0,1,Bremen,Sovereign (unrecognized),4,0
246-380,246,380,1.3090021448890634,0.00003057013527856753|0.00016840743384532788,0,1,0,bridge,0.00016840743384532788,1,1,Bremen,Sovereign (unrecognized),4,0,1,Sweden,Sovereign,3,0
246-385,246,385,3.2638058671510937,0.00011745049999059913,0,1,0,bridge,0.00011745049999059913,1,1,Bremen,Sovereign (unrecognized),4,0,1,Norway,Sovereign (limited),3,0
248-380,248,380,1.6275025471102111,0.0002862336037011014|0.00041274043079858364,1,0,0,3,0.00041274043079858364,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Sweden,Sovereign,3,0
248-385,248,385,1.053383434990026,0.0010996393624890912,1,0,0,3,0.0010996393624890912,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Norway,Sovereign (limited),3,0
337-338,337,338,8.969948053046137,0.00020257997479530002,1,0,0,0,0.00020257997479530002,1,,Tuscany,Sovereign,0,0,1,Malta,Colony of,0,0
276-365,365,276,0.40109908811180683,0.0000022137688483491956,0,1,0,bridge,0.0000022137688483491956,1,1,Russia (USSR),Sovereign,2,0,1,Lübeck,Sovereign (limited),4,0
248-365,365,248,0.5369923451900276,0.0016951498910854745,0,1,0,bridge,0.0016951498910854745,1,1,Russia (USSR),Sovereign,2,0,1,Hamburg,Sovereign (unrecognized),3,0
276-380,380,276,1.3847751173199878,5.366712359634414e-7,0,1,0,bridge,5.366712359634414e-7,1,1,Sweden,Sovereign,3,0,1,Lübeck,Sovereign (limited),4,0
280-380,380,280,77.67319745493283,0.00010738791431628461,1,0,0,3,0.00010738791431628461,1,1,Sweden,Sovereign,3,0,1,Mecklenburg Schwerin,Sovereign (limited),3,0
276-41,41,276,2.7158937052656578,3.689614747248659e-7,1,0,0,4,3.689614747248659e-7,1,1,Haiti,Sovereign (unrecognized),4,0,1,Lübeck,Sovereign (limited),4,0
276-840,840,276,0.42856235154216415,7.379229494497318e-8,0,1,0,bridge,7.379229494497318e-8,1,1,Philippines,Colony of,1,0,1,Lübeck,Sovereign (limited),4,0
246-840,840,246,0.40328738973097633,0.000023492783354299645,0,1,0,bridge,0.000023492783354299645,1,1,Philippines,Colony of,1,0,1,Bremen,Sovereign (unrecognized),4,0
248-840,840,248,0.5968813463281997,0.000057578115228427714,0,1,0,bridge,0.000057578115228427714,1,1,Philippines,Colony of,1,0,1,Hamburg,Sovereign (unrecognized),3,0
