key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
150-160,150,160,4.609302041291106,0.00016595067425138893,1,0,0,0.00016595067425138893,,,Paraguay,,2,1,AS,0,,,Argentina (La Plata),,2,1,AS,0.1
150-165,150,165,3.5510457296257742,0.000017631182857174858,1,0,0,0.000017631182857174858,,,Paraguay,,2,1,AS,0,,,Uruguay,,2,1,AS,0.11000000000000001
155-160,155,160,1.5587392134057576,0.00023037179973835084|0.0000022818330412427937,1,0,0,0.00023037179973835084,,,Chile,,2,1,AS,0.01583333333333335,,,Argentina (La Plata),,2,1,AS,0.1
155-165,155,165,1.9159898531407933,0.00005006131316819741|0.00007217999060636216,1,0,0,0.00007217999060636216,,,Chile,,2,1,AS,0.01583333333333335,,,Uruguay,,2,1,AS,0.11000000000000001
155-200,155,200,0.8649672939225306,0.002422326721691483|0.0023415857281218286,0,1,0,0.002422326721691483,,,Chile,,2,1,AS,0.01583333333333335,,,United Kingdom,,1,9,AF,0.014328358208955224
155-220,155,220,0.5172056866496046,0.0008061803657675776|0.0006042663542668321,0.95,0.050000000000000044,0.19000000000000017,0.0008061803657675776,,,Chile,,2,1,AS,0.01583333333333335,,,France,,2,9,AF,0.21256410256410257
155-255,155,255,0.6239443920675409,0.0009304741046431957|0.00033380392157463104,0,1,0,0.0009304741046431957,,,Chile,,2,1,AS,0.01583333333333335,,,Germany (Zollverein),,3,5,WE,0
155-90,90,155,2.7516086706626917,0.00000422514986719299,1,0,0,0.00000422514986719299,,,Guatemala,,2,2,WE,0.0633333333333334,,,Chile,,2,1,AS,0.01583333333333335
155-92,92,155,5.253899387958422,7.569088254294201e-7,1,0,0,7.569088254294201e-7,,,El Salvador,,2,3,WE,0,,,Chile,,2,1,AS,0.01583333333333335
155-94,94,155,3.5807858351529136,0.000005239579788686877,1,0,0,0.000005239579788686877,,,Costa Rica,,2,2,WE,0.0633333333333334,,,Chile,,2,1,AS,0.01583333333333335
160-165,160,165,2.5616613540829563,0.00042069593430467986|0.00009543555970942595,1,0,0,0.00042069593430467986,,,Argentina (La Plata),,2,1,AS,0.1,,,Uruguay,,2,1,AS,0.11000000000000001
160-200,160,200,0.5864744439122234,0.0008699795534866032|0.00284373780873469,0,1,0,0.00284373780873469,,,Argentina (La Plata),,2,1,AS,0.1,,,United Kingdom,,1,9,AF,0.014328358208955224
160-211,160,211,1.1322484934888672,0.001260036987392609|0.0004171109653331218,1,0,0,0.001260036987392609,,,Argentina (La Plata),,2,1,AS,0.1,,,Belgium,,2,5,WE,0.013571428571428583
160-220,160,220,1.3184067621042073,0.004599138363030889|0.0017722450876942622,0.95,0.050000000000000044,0.19000000000000017,0.004599138363030889,,,Argentina (La Plata),,2,1,AS,0.1,,,France,,2,9,AF,0.21256410256410257
160-230,160,230,0.770088184805572,0.00042262191714823467|0.0001764297705396846,1,0,0,0.00042262191714823467,,,Argentina (La Plata),,2,1,AS,0.1,,,Spain,,2,3,WE,0.1580769230769231
160-255,160,255,0.05097425234661587,0.0006928858523123014|0.0007226151878683115,0,1,0,0.0007226151878683115,,,Argentina (La Plata),,2,1,AS,0.1,,,Germany (Zollverein),,3,5,WE,0
160-325,160,325,0.920546133379003,0.0004961812203968825|0.0004241084315416822,0.35,0.65,0.9099999999999999,0.0004961812203968825,,,Argentina (La Plata),,2,1,AS,0.1,,,Italy,,0,2,WE,0.5638461538461539
165-2,2,165,1.0041509591265418,0.0009856809799131051|0.00021097667391758255,0,1,0,0.0009856809799131051,,,United States of America,,4,2,WE,0.00475,,,Uruguay,,2,1,AS,0.11000000000000001
165-200,165,200,0.3007484218632823,0.0005898448529989539|0.000654180542167752,0,1,0,0.000654180542167752,,,Uruguay,,2,1,AS,0.11000000000000001,,,United Kingdom,,1,9,AF,0.014328358208955224
165-211,165,211,1.3238634725359675,0.000637160247454504|0.00005503046584914594,1,0,0,0.000637160247454504,,,Uruguay,,2,1,AS,0.11000000000000001,,,Belgium,,2,5,WE,0.013571428571428583
165-220,165,220,0.6276509876993304,0.0009623501197582882|0.0003857024082400466,0.95,0.050000000000000044,0.19000000000000017,0.0009623501197582882,,,Uruguay,,2,1,AS,0.11000000000000001,,,France,,2,9,AF,0.21256410256410257
165-230,165,230,1.590560995012217,0.000055427721329974494|0.0002938841302307064,1,0,0,0.0002938841302307064,,,Uruguay,,2,1,AS,0.11000000000000001,,,Spain,,2,3,WE,0.1580769230769231
165-325,165,325,1.261700361262146,0.00018261464787306707,0.35,0.65,0.9099999999999999,0.00018261464787306707,,,Uruguay,,2,1,AS,0.11000000000000001,,,Italy,,0,2,WE,0.5638461538461539
