"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"135","325","135-325",20.7496324061766,"67046.49516031655",0,1,0,"bridge",67046.4951603166,1,1,"Italy","Sovereign",0,0.0267647058823529,1,"Peru","Sovereign",2,0.184615384615385,67046.4951603166,NA
"135","70","135-70",20.6471966095157,"4104",1,0,0,"2",4104,1,1,"Mexico","Sovereign",2,0.1452,1,"Peru","Sovereign",2,0.184615384615385,4104,NA
"135","750","135-750",18.8636315498762,"15516",0,1,0,"bridge",15516,1,1,"India","Colony of",1,0.0477966101694915,1,"Peru","Sovereign",2,0.184615384615385,15516,NA
"140","1032","1032-140",17.3616286252413,"9",1,0,0,"2",9,1,1,"Turks and Caicos Is.","Dependency of",2,0.135,1,"Brazil","Sovereign",2,0.131428571428571,9,NA
"140","1048","1048-140",17.3660179930932,"557",0.9,0.1,0.36,"2",557,1,1,"Trinidad","Colony of",2,0.1875,1,"Brazil","Sovereign",2,0.131428571428571,557,NA
"140","155","140-155",19.7978356408272,"45294.602147374615",1,0,0,"2",45294.6021473746,1,1,"Chile","Sovereign",2,0.115,1,"Brazil","Sovereign",2,0.131428571428571,45294.6021473746,NA
"140","160","140-160",21.9792462998917,"446040.6436971322",1,0,0,"2",446040.643697132,1,1,"Argentina (La Plata)","Sovereign",2,0.12,1,"Brazil","Sovereign",2,0.131428571428571,446040.643697132,NA
"140","165","140-165",23.2625510857626,"599973.75",1,0,0,"2",599973.75,1,1,"Uruguay","Sovereign",2,0.125454545454545,1,"Brazil","Sovereign",2,0.131428571428571,599973.75,NA
"140","2","140-2",20.9742261381998,"1847854.0605763134",0.9,0.1,0.36,"2",1847854.06057631,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Brazil","Sovereign",2,0.131428571428571,1847854.06057631,NA
"140","20","140-20",20.0379852600055,"101726.80731596549",0.9,0.1,0.36,"2",101726.807315965,1,1,"Canada (Province of Canada)","Colony of",2,0.0984782608695652,1,"Brazil","Sovereign",2,0.131428571428571,101726.807315965,NA
"140","200","140-200",21.6813506311913,"6875687",0,1,0,"bridge",6875687,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Brazil","Sovereign",2,0.131428571428571,6875687,NA
"140","21","140-21",23.7969552311287,"326926",0.9,0.1,0.36,"2",326926,1,1,"Newfoundland and Labrador (Newfoundland)","Colony of",2,0.0606666666666667,1,"Brazil","Sovereign",2,0.131428571428571,326926,NA
"140","210","140-210",8.00529444583391,"2.0659449632261797",0,1,0,"bridge",2.06594496322618,1,1,"Netherlands","Sovereign",0,0.0239473684210526,1,"Brazil","Sovereign",2,0.131428571428571,2.06594496322618,NA
"140","211","140-211",20.6978984366688,"554408.6400008472",0,1,0,"bridge",554408.640000847,1,1,"Belgium","Sovereign",0,0.0476,1,"Brazil","Sovereign",2,0.131428571428571,554408.640000847,NA
"140","220","140-220",21.1776341584629,"2464676.9328464833",0.4,0.6,0.96,"bridge",2464676.93284648,1,1,"France","Sovereign",3,0.54536231884058,1,"Brazil","Sovereign",2,0.131428571428571,2464676.93284648,NA
"140","230","140-230",18.6499093007943,"40494.57869741632",1,0,0,"2",40494.5786974163,1,1,"Spain","Sovereign",2,0.163684210526316,1,"Brazil","Sovereign",2,0.131428571428571,40494.5786974163,NA
"140","235","140-235",23.6217467811598,"1084392.4916993384",0,1,0,"bridge",1084392.49169934,1,1,"Portugal","Sovereign",4,0.0886666666666667,1,"Brazil","Sovereign",2,0.131428571428571,1084392.49169934,NA
"140","255","140-255",20.1027887655743,"597068.8812896922",0.1,0.9,0.36,"bridge",597068.881289692,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Brazil","Sovereign",2,0.131428571428571,597068.881289692,NA
"140","380","140-380",18.6936181276939,"19587.617553138956",0,1,0,"bridge",19587.617553139,1,1,"Sweden","Sovereign",0,0.0433333333333333,1,"Brazil","Sovereign",2,0.131428571428571,19587.617553139,NA
"140","385","140-385",16.0624088571762,"692.9422548133693",0,1,0,"bridge",692.942254813369,1,1,"Norway","Sovereign (limited)",0,0.0586363636363637,1,"Brazil","Sovereign",2,0.131428571428571,692.942254813369,NA
"140","390","140-390",14.4838890595413,"213.87378480804085",0,1,0,"bridge",213.873784808041,1,1,"Denmark","Sovereign",0,0.1515,1,"Brazil","Sovereign",2,0.131428571428571,213.873784808041,NA
"140","561","140-561",14.0958475219999,"65",0,1,0,"bridge",65,1,1,"Cape Colony (Cape of Good Hope)","Colony of",1,0.189090909090909,1,"Brazil","Sovereign",2,0.131428571428571,65,NA
"140","70","140-70",19.3894544703626,"8652",1,0,0,"2",8652,1,1,"Mexico","Sovereign",2,0.1452,1,"Brazil","Sovereign",2,0.131428571428571,8652,NA
"140","750","140-750",17.6059006602477,"32711",0,1,0,"bridge",32711,1,1,"India","Colony of",1,0.0477966101694915,1,"Brazil","Sovereign",2,0.131428571428571,32711,NA
"145","1048","1048-145",17.348416171706,"6",0.9,0.1,0.36,"2",6,1,1,"Trinidad","Colony of",2,0.1875,1,"Bolivia","Sovereign",2,0.135,6,NA
"145","160","145-160",24.610421623477,"67923.45780895399",1,0,0,"2",67923.457808954,1,1,"Argentina (La Plata)","Sovereign",2,0.12,1,"Bolivia","Sovereign",2,0.135,67923.457808954,NA
"145","2","145-2",17.8479917500675,"889",0.9,0.1,0.36,"2",889,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Bolivia","Sovereign",2,0.135,889,NA
"145","200","145-200",21.865295061346,"90603",0,1,0,"bridge",90603,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Bolivia","Sovereign",2,0.135,90603,NA
"145","230","145-230",14.4057147168695,"6.369528177200274",1,0,0,"2",6.36952817720027,1,1,"Spain","Sovereign",2,0.163684210526316,1,"Bolivia","Sovereign",2,0.135,6.36952817720027,NA
"145","255","145-255",19.8409694069882,"5038",0.1,0.9,0.36,"bridge",5038,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Bolivia","Sovereign",2,0.135,5038,NA
"145","70","145-70",19.4815035325866,"104",1,0,0,"2",104,1,1,"Mexico","Sovereign",2,0.1452,1,"Bolivia","Sovereign",2,0.135,104,NA
"145","750","145-750",17.7025236852952,"395",0,1,0,"bridge",395,1,1,"India","Colony of",1,0.0477966101694915,1,"Bolivia","Sovereign",2,0.135,395,NA
"150","1048","1048-150",18.8364396567698,"3",0.9,0.1,0.36,"2",3,1,1,"Trinidad","Colony of",2,0.1875,1,"Paraguay","Sovereign",2,0.135,3,NA
"150","160","150-160",25.2809858947713,"14995.87373633175",1,0,0,"2",14995.8737363318,1,1,"Argentina (La Plata)","Sovereign",2,0.12,1,"Paraguay","Sovereign",2,0.135,14995.8737363318,NA
"150","165","150-165",24.1317252863961,"1771.25",1,0,0,"2",1771.25,1,1,"Uruguay","Sovereign",2,0.125454545454545,1,"Paraguay","Sovereign",2,0.135,1771.25,NA
"150","2","150-2",19.4375438881612,"492",0.9,0.1,0.36,"2",492,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Paraguay","Sovereign",2,0.135,492,NA
